"","TimeStep","PreyAbundance","PredatorAbundance"
"137",137,1.18164064487475,11.6608786007649
"138",138,1.28017909275356,11.0916136388363
"139",139,1.39422239245089,10.5512322087798
"140",140,1.52595922880677,10.0383813625542
"141",141,1.67796946774341,9.551780455109
"142",142,1.85328740162948,9.09021902831981
"143",143,2.055476997923,8.65255486530706
"144",144,2.28872112251855,8.23771224954061
"145",145,2.55792708675472,7.84468046309033
"146",146,2.86885129767092,7.47251256057929
"147",147,3.22824628364231,7.12032445990661
"148",148,3.64403393061056,6.7872943978873
"149",149,4.12550940590323,6.47266280907588
"150",150,4.68358097408305,6.17573269992217
"151",151,5.33105172715588,5.89587060910044
"152",152,6.08295016064973,5.63250826983915
"153",153,6.95691752193089,5.38514512343207
"154",154,7.97366092164361,5.15335187772781
"155",155,9.15748230114316,4.93677536432434
